Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	             227.173	              8.9584	           0.0487895	           0.0020118	           0.0024171	          0.00207081
        2   2.78307e-07                    0s	             227.086	             8.97944	           0.0489263	          0.00418805	          0.00411537	          0.00355193
        3   4.87346e-07                    0s	             227.187	             8.98377	           0.0517942	          0.00487871	           0.0042944	          0.00558158
        4   8.64274e-07                    0s	             227.196	             8.95859	           0.0550349	          0.00855249	          0.00806013	          0.00901277
        5   1.28236e-06                    0s	             227.173	              8.9488	           0.0578013	          0.00891028	          0.00917997	          0.00828034
        6   2.63041e-06                    0s	             227.287	             8.94245	           0.0774612	           0.0306594	           0.0302133	           0.0310421
        7   6.08615e-06                    0s	             227.103	             8.93311	            0.124269	           0.0753335	           0.0753918	           0.0766131
        8   1.36751e-05                    0s	             130.851	             8.97327	            0.195255	            0.138935	            0.141379	            0.142004
        9   2.85862e-05                    0s	             1.04335	             8.95974	           0.0621233	           0.0141403	            0.014181	           0.0142658
       10   5.55296e-05                    0s	               1.114	             8.96135	           0.0776993	           0.0262902	           0.0265249	           0.0264523
       11   0.000101135                    0s	             1.19161	             8.95902	            0.104647	            0.044873	            0.044792	           0.0451048
       12    0.00017439                    0s	             1.25755	             8.96946	            0.148355	           0.0732861	           0.0729663	           0.0733679
       13   0.000287114                    0s	             1.32183	             8.97392	            0.217536	            0.112233	            0.113957	            0.113525
       14   0.000454474                    0s	             1.37275	             0.20262	            0.125632	           0.0474129	           0.0485509	           0.0480885
       15   0.000695531                    0s	           0.0489544	             0.18291	           0.0631074	          0.00902535	          0.00987673	          0.00993763
       16    0.00103383                    0s	           0.0410277	           0.0170419	           0.0526542	          0.00300167	          0.00420636	          0.00420925
       17    0.00149801                    0s	           0.0149482	           0.0159708	           0.0508625	            0.001743	          0.00337576	          0.00337082
       18    0.00212246                    0s	           0.0155202	           0.0134943	            0.051519	          0.00184577	          0.00404377	          0.00405909
       19    0.00294803                    0s	           0.0164208	           0.0151842	           0.0527429	          0.00221791	          0.00515135	          0.00516284
       20    0.00402271                    0s	           0.0186377	            0.017312	           0.0540164	          0.00283603	           0.0063933	          0.00640567
       21     0.0054024                    0s	           0.0208608	           0.0195477	           0.0551837	          0.00396665	          0.00763521	          0.00764294
       22    0.00715171                    0s	            0.022724	           0.0213135	           0.0560358	          0.00565313	          0.00880922	          0.00881243
       23    0.00934477                    0s	           0.0241533	           0.0227475	           0.0567482	          0.00760629	          0.00986535	          0.00986647
       24      0.012066                    0s	           0.0253749	           0.0239854	           0.0573941	          0.00949635	           0.0108125	           0.0108066
       25     0.0154113                    0s	            0.026439	           0.0251512	           0.0579217	            0.011149	           0.0116113	           0.0115905
       26     0.0194883                    0s	           0.0273081	            0.025987	           0.0583409	           0.0125588	           0.0122827	           0.0122594
       27     0.0244182                    0s	           0.0279751	           0.0266603	           0.0587389	           0.0137018	           0.0127917	           0.0128161
       28     0.0303358                    0s	           0.0286252	           0.0272685	           0.0590676	           0.0147068	           0.0132596	           0.0132427
       29     0.0373912                    0s	           0.0290056	           0.0277178	           0.0593288	           0.0154422	           0.0136274	           0.0136087
       30     0.0457507                    0s	           0.0294204	           0.0280836	           0.0595372	            0.016114	           0.0138893	            0.013927
       31     0.0555975                    0s	           0.0296983	           0.0284117	           0.0596979	           0.0166334	           0.0141606	             0.01418
       32     0.0671332                    0s	           0.0149609	           0.0142642	           0.0248129	          0.00847496	          0.00684151	           0.0068382
       33     0.0805785                    0s	         4.39696e-05	         4.22295e-05	         3.10462e-05	         1.77003e-05	         1.48261e-05	         1.47885e-05
       34     0.0961747                    0s	         4.10984e-06	         6.69448e-06	         3.46284e-06	          3.3931e-06	         1.90161e-06	         1.90017e-06
       35      0.114185                    0s	         3.98676e-06	         6.46571e-06	          3.3547e-06	         3.34332e-06	         1.85325e-06	         1.85266e-06
       36      0.134895                    0s	         3.88253e-06	         6.23207e-06	         3.27439e-06	         3.29402e-06	         1.80932e-06	         1.80763e-06
       37      0.158615                    0s	         3.76448e-06	         5.97388e-06	         3.17915e-06	         3.24452e-06	         1.75527e-06	         1.75201e-06
       38       0.18568                    0s	         3.63494e-06	         5.69318e-06	         3.06252e-06	          3.1799e-06	         1.69417e-06	         1.69293e-06
       39      0.216451                    0s	         3.48869e-06	         5.39124e-06	         2.95049e-06	         3.10956e-06	         1.62982e-06	           1.628e-06
       40      0.251319                    0s	         3.33815e-06	         5.07477e-06	         2.82777e-06	         3.03851e-06	         1.55834e-06	         1.55754e-06
       41      0.290702                    0s	          3.1759e-06	         4.75054e-06	         2.69932e-06	          2.9614e-06	         1.48426e-06	         1.48378e-06
       42      0.335051                    0s	         3.00768e-06	         4.42195e-06	         2.56267e-06	         2.88022e-06	          1.4098e-06	         1.40749e-06
       43      0.384846                    0s	         2.84188e-06	         4.08447e-06	         2.43706e-06	         2.80198e-06	         1.33271e-06	         1.33118e-06
       44      0.440602                    0s	         2.67617e-06	         3.76158e-06	         2.30354e-06	         2.72014e-06	         1.25612e-06	         1.25651e-06
       45       0.50287                    1s	         2.51595e-06	         3.44425e-06	         2.17908e-06	         2.64175e-06	         1.18348e-06	         1.18283e-06
       46      0.572236                    1s	         2.36853e-06	         3.15056e-06	         2.06475e-06	          2.5675e-06	         1.11332e-06	         1.11418e-06
       47      0.649323                    1s	         2.22357e-06	         2.87008e-06	         1.94716e-06	         2.49625e-06	         1.04811e-06	          1.0471e-06
       48      0.734794                    1s	         2.09448e-06	         2.61468e-06	         1.84688e-06	         2.43348e-06	         9.86445e-07	         9.86027e-07
       49      0.829354                    1s	         1.97709e-06	         2.38398e-06	          1.7576e-06	         2.37398e-06	          9.3249e-07	         9.33285e-07
       50      0.933749                    1s	         1.87319e-06	         2.18056e-06	         1.67704e-06	         2.32426e-06	         8.85371e-07	         8.85337e-07
