Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22
        1    0.00439083                    0s	         4.08793e+20	         4.38218e+20	         1.18797e+22	         2.19148e+22	         2.20628e+22	         2.20608e+22
        2     0.0147194                    0s	         1.01224e+20	         1.12986e+20	         8.47883e+21	         2.32077e+22	         2.34315e+22	         2.34328e+22
        3     0.0191102                    0s	         9.93016e+19	          1.0896e+20	         7.04992e+21	         2.36653e+22	         2.39206e+22	         2.39209e+22
        4     0.0294388                    0s	         1.02965e+20	          1.1084e+20	         3.64856e+21	         2.47457e+22	         2.50795e+22	         2.50774e+22
        5     0.0338296                    0s	         9.92583e+19	         1.09506e+20	         2.21864e+21	         2.52043e+22	         2.55682e+22	         2.55651e+22
        6     0.0382204                    0s	         9.95252e+19	         1.09708e+20	         7.88816e+20	         2.56618e+22	         2.60542e+22	         2.60509e+22
        7     0.0426113                    0s	         2.31891e+19	           3.439e+19	         2.45434e+19	          2.5955e+22	         2.63658e+22	          2.6362e+22
        8     0.0470021                    0s	         1.07389e+18	         1.39082e+19	         1.36561e+19	         2.59724e+22	         2.63838e+22	         2.63801e+22
        9      0.051393                    0s	         1.50397e+17	          1.3065e+19	         1.31714e+19	         2.59731e+22	         2.63846e+22	         2.63809e+22
       10     0.0617215                    0s	         3.12556e+16	         1.27884e+19	         1.31425e+19	         2.59731e+22	         2.63848e+22	         2.63811e+22
       11     0.0661123                    0s	           2.855e+16	         1.26773e+19	         1.31412e+19	         2.59731e+22	         2.63849e+22	         2.63811e+22
       12     0.0764409                    0s	         3.03957e+16	         1.24106e+19	         1.31418e+19	         2.59731e+22	          2.6385e+22	         2.63813e+22
       13     0.0808317                    0s	         2.77533e+16	         1.23038e+19	         1.31411e+19	         2.59731e+22	         2.63851e+22	         2.63813e+22
       14     0.0911603                    0s	         2.95029e+16	          1.2047e+19	         1.31415e+19	         2.59731e+22	         2.63852e+22	         2.63815e+22
       15     0.0955511                    0s	         2.70782e+16	         1.19442e+19	         1.31409e+19	          2.5973e+22	         2.63853e+22	         2.63815e+22
       16       0.10588                    0s	         2.86905e+16	         1.16967e+19	         1.31413e+19	          2.5973e+22	         2.63854e+22	         2.63817e+22
       17      0.110271                    0s	         2.65418e+16	         1.15976e+19	         1.31406e+19	          2.5973e+22	         2.63855e+22	         2.63817e+22
       18      0.120599                    0s	          2.7947e+16	         1.13593e+19	         1.31412e+19	          2.5973e+22	         2.63856e+22	         2.63819e+22
       19       0.12499                    0s	         2.58921e+16	         1.12639e+19	         1.31404e+19	         2.59729e+22	         2.63857e+22	         2.63819e+22
       20      0.135318                    0s	         2.73146e+16	         1.10348e+19	          1.3141e+19	         2.59729e+22	         2.63858e+22	         2.63821e+22
       21      0.139709                    0s	         2.53688e+16	         1.09429e+19	         1.31401e+19	         2.59729e+22	         2.63859e+22	         2.63821e+22
       22      0.150038                    0s	         2.69072e+16	         1.07217e+19	         1.31404e+19	         2.59728e+22	          2.6386e+22	         2.63822e+22
       23      0.154429                    0s	         2.48527e+16	         1.06331e+19	           1.314e+19	         2.59728e+22	          2.6386e+22	         2.63823e+22
       24      0.164757                    0s	         2.62831e+16	         1.04207e+19	         1.31405e+19	         2.59728e+22	         2.63862e+22	         2.63824e+22
       25      0.169148                    0s	         2.43683e+16	         1.03354e+19	         1.31399e+19	         2.59728e+22	         2.63862e+22	         2.63825e+22
       26      0.179477                    0s	         2.57564e+16	         1.01304e+19	         1.31402e+19	         2.59727e+22	         2.63864e+22	         2.63826e+22
