Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1    0.00439083                    0s	         0.000228207	          0.00022773	          0.00010681	         0.000206485	         0.000207398	         0.000207386
        2     0.0147194                    0s	         0.000151743	         0.000153207	         0.000185554	         0.000209987	         0.000213262	         0.000213397
        3     0.0191102                    0s	         0.000146727	         0.000145755	         0.000154015	         0.000194961	         0.000198873	         0.000198757
        4     0.0294388                    0s	         0.000103416	         0.000101745	         0.000108881	         0.000203449	         0.000207407	         0.000207295
        5     0.0338296                    0s	         0.000146542	          0.00014347	         0.000152482	         0.000193681	         0.000197404	          0.00019727
        6     0.0382204                    0s	         0.000145191	         0.000143354	         0.000151264	         0.000193654	         0.000197184	         0.000197162
        7     0.0426113                    0s	         0.000125287	         0.000123097	         0.000153749	         0.000169835	         0.000172658	         0.000172594
        8     0.0470021                    0s	         0.000190276	         0.000188277	         0.000155785	         0.000174684	         0.000175439	         0.000175589
        9      0.051393                    0s	         0.000252113	         0.000234626	         0.000199217	         0.000225351	         0.000215734	         0.000215563
       10     0.0617215                    0s	         0.000217214	         0.000232885	         0.000134439	         0.000278471	         0.000211309	         0.000211241
       11     0.0661123                    0s	         0.000194059	         0.000219911	         0.000140907	         0.000250409	         0.000183475	          0.00018338
       12     0.0764409                    0s	         0.000153041	         0.000229541	          0.00010734	         0.000283796	         0.000206804	         0.000206927
       13     0.0808317                    0s	         0.000193755	         0.000221063	         0.000140198	         0.000250821	         0.000182949	          0.00018306
       14     0.0911603                    0s	         0.000152721	         0.000231839	         0.000108233	         0.000284147	          0.00020664	         0.000206451
       15     0.0955511                    0s	         0.000193045	         0.000222465	         0.000140513	         0.000251543	         0.000182863	         0.000182923
       16       0.10588                    0s	         0.000151671	          0.00023369	         0.000108053	         0.000284202	         0.000206202	         0.000206273
       17      0.110271                    0s	           0.0001925	         0.000223386	         0.000140644	         0.000251613	         0.000182617	         0.000182563
       18      0.120599                    0s	         0.000151614	         0.000235474	         0.000108258	         0.000284179	          0.00020572	         0.000205646
       19       0.12499                    0s	         0.000191886	         0.000224623	         0.000141278	         0.000251799	         0.000182253	         0.000182385
       20      0.135318                    0s	          0.00015131	         0.000237422	         0.000108311	         0.000284668	         0.000205503	         0.000205486
       21      0.139709                    0s	         0.000191597	         0.000226049	         0.000141521	         0.000252751	         0.000182377	         0.000182377
       22      0.150038                    0s	         0.000150925	         0.000239175	         0.000107883	         0.000284754	         0.000205383	         0.000205342
       23      0.154429                    0s	          0.00019158	         0.000226634	         0.000140789	         0.000252688	         0.000181827	         0.000181994
       24      0.164757                    0s	         0.000150505	          0.00024086	         0.000108418	         0.000284821	         0.000204938	         0.000205057
       25      0.169148                    0s	         0.000191132	           0.0002276	         0.000141698	         0.000253045	         0.000181918	          0.00018171
       26      0.179477                    0s	         0.000150332	         0.000242597	         0.000108651	         0.000285302	         0.000204902	         0.000204868
       27      0.183867                    0s	         0.000190949	         0.000228618	         0.000141602	          0.00025344	         0.000181588	         0.000181664
       28      0.194196                    0s	         0.000150168	         0.000244075	         0.000108523	         0.000285391	         0.000204624	         0.000204763
       29      0.198587                    0s	         0.000190493	         0.000229352	         0.000142359	          0.00025383	         0.000181539	         0.000181701
       30      0.208915                    0s	         0.000149608	         0.000245257	          0.00010877	           0.0002854	         0.000204428	         0.000204314
       31      0.244418                    0s	         8.89892e-05	         0.000248424	          6.4253e-05	          0.00029758	         0.000213551	         0.000213683
       32      0.252553                    0s	         0.000160445	         0.000240756	         0.000117803	         0.000272661	         0.000194237	         0.000194332
       33      0.262882                    0s	         0.000150377	         0.000250172	         0.000110264	         0.000285647	         0.000203648	         0.000203601
       34      0.298385                    0s	         8.82895e-05	         0.000254418	         6.41597e-05	          0.00029715	         0.000212861	         0.000212808
       35       0.30652                    0s	         0.000158796	         0.000243652	          0.00011833	         0.000272354	         0.000193352	         0.000193151
       36      0.316848                    0s	         0.000149352	         0.000254527	          0.00011119	         0.000286238	         0.000203124	         0.000203282
       37      0.352351                    0s	         8.74792e-05	         0.000258926	         6.46003e-05	          0.00029646	         0.000212116	         0.000211908
       38      0.360486                    0s	          0.00015914	         0.000247664	         0.000119169	         0.000273835	         0.000193772	         0.000193639
       39      0.370815                    0s	         0.000148582	         0.000257799	         0.000112314	         0.000286171	         0.000203014	          0.00020288
