Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1    0.00439083                    0s	         1.35658e+22	         1.48874e+22	          1.2042e+22	          2.5979e+21	         3.00323e+21	         3.00234e+21
        2     0.0147194                    0s	         6.47357e+20	         6.97335e+20	         1.56006e+21	         1.19871e+20	         2.06102e+20	         2.06051e+20
        3     0.0191102                    0s	         4.47068e+20	          4.7318e+20	         1.41528e+21	         6.55239e+19	         1.47104e+20	         1.46102e+20
        4     0.0294388                    0s	          5.1351e+20	         5.37665e+20	          1.4462e+21	          9.0454e+19	         1.73696e+20	         1.73202e+20
        5     0.0338296                    0s	         4.42492e+20	         4.69704e+20	         1.41282e+21	         6.58297e+19	         1.46972e+20	         1.46083e+20
        6     0.0382204                    0s	         4.37821e+20	         4.68637e+20	         1.41087e+21	         6.45307e+19	         1.46417e+20	         1.45523e+20
        7     0.0426113                    0s	         3.49771e+20	         3.75416e+20	         8.27929e+20	          5.9555e+19	         1.09339e+20	         1.10008e+20
        8     0.0470021                    0s	         2.63468e+19	         2.80211e+19	         2.89851e+19	         4.95865e+18	         6.13963e+18	         6.16314e+18
        9      0.051393                    0s	         1.09294e+18	         1.17758e+18	         1.23688e+18	         2.63235e+17	         2.59537e+17	         2.60808e+17
       10     0.0617215                    0s	         9.80994e+16	         1.45957e+17	         1.04976e+17	         8.06186e+16	         3.01958e+16	         2.99431e+16
       11     0.0661123                    0s	         4.66153e+16	         1.17077e+17	         6.33157e+16	         7.19757e+16	         1.90657e+16	         1.91223e+16
       12     0.0764409                    0s	         5.18015e+16	         1.21155e+17	         6.89047e+16	         7.38968e+16	         2.20017e+16	         2.19893e+16
       13     0.0808317                    0s	         4.56736e+16	         1.12394e+17	         6.07571e+16	         7.12488e+16	            1.86e+16	         1.85794e+16
       14     0.0911603                    0s	         5.08283e+16	         1.16784e+17	         6.68858e+16	         7.33579e+16	         2.14113e+16	         2.14373e+16
       15     0.0955511                    0s	         4.43151e+16	         1.08877e+17	         5.96069e+16	         7.12033e+16	          1.8099e+16	         1.82937e+16
       16       0.10588                    0s	         4.97368e+16	         1.13527e+17	         7.38115e+16	         7.31327e+16	         2.10167e+16	         2.11135e+16
       17      0.110271                    0s	         4.33288e+16	         1.05397e+17	         5.77884e+16	         7.08196e+16	         1.77549e+16	         1.77608e+16
       18      0.120599                    0s	         4.93334e+16	          1.1026e+17	         6.35371e+16	         7.24752e+16	         2.06235e+16	         2.06555e+16
       19       0.12499                    0s	         4.26982e+16	         1.02605e+17	         5.66396e+16	         7.03226e+16	          1.7511e+16	         1.74136e+16
       20      0.135318                    0s	         4.80385e+16	          1.0614e+17	         6.16942e+16	         7.20593e+16	         2.06064e+16	         2.02681e+16
       21      0.139709                    0s	         4.23175e+16	         9.91987e+16	         5.52189e+16	          6.9856e+16	         1.71177e+16	         1.71657e+16
       22      0.150038                    0s	         4.68906e+16	         1.03136e+17	         6.03573e+16	         7.18433e+16	         1.98268e+16	         1.98428e+16
       23      0.154429                    0s	         4.11886e+16	         9.63237e+16	         5.33691e+16	         6.94467e+16	          1.6608e+16	         1.66368e+16
       24      0.164757                    0s	         4.63585e+16	         9.99763e+16	         5.91163e+16	         7.14432e+16	           1.936e+16	         1.95345e+16
       25      0.169148                    0s	         4.07213e+16	         9.34255e+16	         5.25928e+16	         6.91647e+16	         1.63995e+16	         1.64661e+16
       26      0.179477                    0s	         4.55516e+16	          9.7384e+16	         5.77404e+16	         7.11063e+16	         1.90532e+16	           1.908e+16
       27      0.183867                    0s	         3.95701e+16	         9.06977e+16	          5.1206e+16	         6.90331e+16	         1.60965e+16	         1.60673e+16
       28      0.194196                    0s	         4.50941e+16	         9.44499e+16	         5.64824e+16	         7.04125e+16	         1.87135e+16	         1.88463e+16
       29      0.198587                    0s	         3.91589e+16	         8.78758e+16	         5.00317e+16	         6.85515e+16	         1.58701e+16	         1.57912e+16
       30      0.208915                    0s	         4.41816e+16	         9.18152e+16	         5.52228e+16	         7.01925e+16	          1.8386e+16	         1.83498e+16
       31      0.244418                    0s	         4.99689e+16	         9.21867e+16	         5.92029e+16	         7.17462e+16	         2.00272e+16	         1.99752e+16
