Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1    0.00439083                    0s	            0.967418	            0.911206	             0.54155	            0.310186	            0.297156	            0.297219
        2     0.0147194                    0s	            0.039759	           0.0381269	           0.0650563	           0.0201537	            0.017289	           0.0173234
        3     0.0191102                    0s	           0.0279944	           0.0266954	           0.0586857	           0.0130924	           0.0126301	           0.0125965
        4     0.0294388                    0s	           0.0298165	           0.0283861	           0.0596944	            0.016708	           0.0142227	           0.0141714
        5     0.0338296                    0s	           0.0279042	           0.0265354	           0.0586778	           0.0131307	           0.0126036	           0.0125766
        6     0.0382204                    0s	            0.027816	           0.0264335	           0.0586609	           0.0130811	           0.0125139	           0.0125269
        7     0.0426113                    0s	            0.021475	           0.0204217	           0.0344559	           0.0110931	          0.00941967	          0.00938226
        8     0.0470021                    0s	          0.00183291	           0.0016859	          0.00127276	         0.000638649	         0.000588715	         0.000591127
        9      0.051393                    0s	         7.73764e-05	         7.07717e-05	         5.47293e-05	         2.82445e-05	         2.48661e-05	         2.47663e-05
       10     0.0617215                    0s	         6.86929e-06	         8.21295e-06	         4.91887e-06	         4.15037e-06	         2.59823e-06	         2.59159e-06
       11     0.0661123                    0s	         3.71207e-06	         6.38618e-06	         3.16663e-06	          3.1116e-06	         1.64934e-06	         1.64985e-06
       12     0.0764409                    0s	         3.89714e-06	         6.53519e-06	         3.30711e-06	         3.28418e-06	           1.805e-06	         1.81201e-06
       13     0.0808317                    0s	         3.61676e-06	         6.18124e-06	         3.06413e-06	         3.06417e-06	         1.60134e-06	          1.6047e-06
       14     0.0911603                    0s	          3.8031e-06	         6.33899e-06	         3.23109e-06	         3.23988e-06	         1.76472e-06	          1.7586e-06
       15     0.0955511                    0s	         3.50554e-06	         5.98463e-06	         2.99036e-06	         3.02554e-06	         1.56037e-06	         1.55875e-06
       16       0.10588                    0s	         3.70362e-06	         6.14539e-06	         3.16147e-06	         3.18965e-06	          1.7234e-06	         1.72288e-06
       17      0.110271                    0s	         3.42621e-06	         5.80555e-06	         2.91853e-06	         2.98107e-06	         1.52342e-06	         1.52286e-06
       18      0.120599                    0s	         3.63122e-06	         5.95987e-06	         3.08539e-06	         3.14792e-06	         1.68435e-06	         1.68101e-06
       19       0.12499                    0s	         3.34164e-06	         5.64678e-06	         2.86255e-06	         2.93681e-06	         1.48729e-06	         1.49244e-06
       20      0.135318                    0s	         3.54912e-06	         5.78142e-06	         3.01763e-06	         3.11626e-06	         1.64132e-06	         1.64028e-06
       21      0.139709                    0s	         3.27109e-06	         5.49137e-06	         2.79894e-06	         2.91672e-06	         1.45523e-06	         1.45453e-06
       22      0.150038                    0s	         3.45553e-06	           5.633e-06	         2.94789e-06	         3.06556e-06	         1.60449e-06	         1.60701e-06
       23      0.154429                    0s	         3.20128e-06	         5.31977e-06	         2.71217e-06	         2.87973e-06	          1.4199e-06	         1.42337e-06
       24      0.164757                    0s	         3.38133e-06	         5.47059e-06	         2.88187e-06	         3.03573e-06	         1.56949e-06	         1.57149e-06
       25      0.169148                    0s	         3.14414e-06	         5.18607e-06	          2.6737e-06	         2.85154e-06	         1.39349e-06	         1.39005e-06
       26      0.179477                    0s	         3.31493e-06	         5.31676e-06	          2.8269e-06	         3.00022e-06	         1.53663e-06	         1.53378e-06
       27      0.183867                    0s	         3.07075e-06	         5.04315e-06	         2.60758e-06	          2.8156e-06	          1.3636e-06	         1.36025e-06
       28      0.194196                    0s	         3.25073e-06	         5.17699e-06	         2.76839e-06	         2.96502e-06	         1.50693e-06	           1.505e-06
       29      0.198587                    0s	         3.01548e-06	         4.89765e-06	         2.56003e-06	         2.78943e-06	         1.33252e-06	         1.33919e-06
       30      0.208915                    0s	          3.1746e-06	         5.03077e-06	         2.71291e-06	         2.93306e-06	         1.47407e-06	         1.47197e-06
       31      0.244418                    0s	         3.29951e-06	         5.02183e-06	         2.80029e-06	          3.0217e-06	         1.54201e-06	         1.54654e-06
       32      0.252553                    0s	          2.9719e-06	         4.60415e-06	         2.53546e-06	         2.81034e-06	         1.35814e-06	         1.35922e-06
       33      0.262882                    0s	         2.97645e-06	         4.56677e-06	         2.55186e-06	          2.8271e-06	         1.37248e-06	         1.37258e-06
       34      0.298385                    0s	          3.0805e-06	         4.56317e-06	         2.61327e-06	         2.89656e-06	          1.4368e-06	         1.43492e-06
       35       0.30652                    0s	         2.77402e-06	         4.17887e-06	         2.37202e-06	         2.71646e-06	          1.2667e-06	         1.26119e-06
       36      0.316848                    0s	          2.7715e-06	         4.15594e-06	         2.37333e-06	         2.73231e-06	         1.27867e-06	         1.28099e-06
       37      0.352351                    0s	         2.85713e-06	         4.14765e-06	         2.45161e-06	          2.8002e-06	         1.34199e-06	         1.33727e-06
       38      0.360486                    0s	         2.59774e-06	         3.82694e-06	         2.22972e-06	         2.63357e-06	         1.18634e-06	         1.18486e-06
       39      0.370815                    0s	         2.60654e-06	         3.80821e-06	         2.23766e-06	         2.64424e-06	         1.20321e-06	         1.20042e-06
       40      0.406317                    0s	         2.69348e-06	         3.81042e-06	         2.31596e-06	         2.71423e-06	         1.25602e-06	         1.25899e-06
       41      0.414453                    0s	         2.44031e-06	         3.51104e-06	         2.10635e-06	         2.55786e-06	         1.11609e-06	         1.11546e-06
       42      0.424781                    0s	         2.44943e-06	         3.49155e-06	         2.11661e-06	         2.57878e-06	         1.12653e-06	         1.13312e-06
       43      0.460284                    0s	         2.52679e-06	         3.49754e-06	         2.18707e-06	         2.63984e-06	         1.18257e-06	         1.18858e-06
       44      0.468419                    0s	         2.31394e-06	         3.24248e-06	         1.98933e-06	         2.49418e-06	         1.06038e-06	         1.05413e-06
       45      0.478747                    0s	           2.314e-06	         3.23439e-06	          2.0085e-06	         2.50543e-06	         1.07224e-06	         1.07362e-06
       46       0.51425                    1s	         2.39764e-06	         3.24974e-06	         2.08042e-06	         2.56971e-06	         1.12264e-06	         1.12735e-06
