Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	          1.9958e-05	         3.98165e-05	         3.60757e-05	         3.60589e-05	         3.60555e-05	         3.60474e-05
        2   2.07337e-07                    0s	         3.72592e-05	         7.43396e-05	         6.73505e-05	          6.7278e-05	         6.73174e-05	         6.73023e-05
        3   3.31433e-07                    0s	         3.72717e-05	         7.43331e-05	         6.73292e-05	         6.72702e-05	         6.72743e-05	         6.72842e-05
        4   6.08459e-07                    0s	         3.71958e-05	         7.42583e-05	         6.72873e-05	         6.72651e-05	         6.72701e-05	         6.72542e-05
        5   9.53745e-07                    0s	         3.72692e-05	         7.43033e-05	         6.73545e-05	         6.72758e-05	         6.72765e-05	         6.72295e-05
        6   3.99548e-06                    0s	         3.72738e-05	         7.43834e-05	         6.73428e-05	         6.72985e-05	         6.73524e-05	         6.73212e-05
        7    2.1687e-05                    0s	         5.78248e-05	         8.29333e-05	          6.7417e-05	         6.73349e-05	         6.73671e-05	         6.73433e-05
        8   9.91551e-05                    0s	         7.86018e-05	         4.25477e-05	         7.16306e-05	         7.10069e-05	          7.0984e-05	         7.09819e-05
        9    0.00037526                    0s	         8.49348e-05	         5.70393e-05	         7.00758e-05	         7.24913e-05	         7.25013e-05	         7.24732e-05
       10    0.00121727                    0s	          0.00010324	          0.00010712	         8.96566e-05	         9.34991e-05	         9.37851e-05	         9.37769e-05
       11       0.00349                    0s	          9.2756e-05	         0.000120497	         0.000116357	         9.80801e-05	         9.93192e-05	         9.93252e-05
       12    0.00905122                    0s	         6.66823e-05	          6.5316e-05	         7.04144e-05	         9.63469e-05	          9.8163e-05	          9.8162e-05
       13     0.0216061                    0s	          4.6374e-05	         4.55272e-05	         4.89353e-05	         9.95431e-05	         0.000101483	         0.000101478
       14     0.0481051                    0s	         3.29988e-05	         3.24993e-05	         3.51598e-05	         0.000101181	         0.000103276	         0.000103285
       15      0.100933                    0s	         3.85901e-05	         3.81877e-05	         5.34955e-05	         0.000103044	         0.000106192	         0.000106162
       16      0.201218                    0s	         7.24591e-05	         0.000121167	         9.79062e-05	         0.000146572	         0.000111458	         0.000111481
       17      0.383665                    0s	         2.03348e-05	         0.000122234	         1.52112e-05	         0.000146889	         0.000106828	          0.00010682
       18      0.703464                    1s	          1.5439e-05	         0.000127754	         1.19856e-05	          0.00014319	         0.000107189	         0.000107174
       19       1.24588                    1s	          1.1933e-05	         0.000123716	         9.94273e-06	         0.000131074	          0.00010875	         0.000108733
       20       2.13938                    2s	         9.57452e-06	         0.000107993	         8.20558e-06	         0.000111916	         0.000110363	         0.000110346
       21       3.57316                    4s	         7.82476e-06	         9.35343e-05	         6.83503e-06	         9.88394e-05	         0.000113223	         0.000113219
       22        5.8203                    6s	         6.49507e-06	         8.10171e-05	          5.7581e-06	         8.84803e-05	         0.000115946	         0.000115945
       23       9.26785                    9s	         5.49238e-06	         6.92091e-05	         4.96687e-06	         7.74564e-05	         0.000118189	         0.000118206
       24       14.4554                   14s	         4.48209e-06	         5.82063e-05	         4.23577e-06	         6.60274e-05	         0.000119766	         0.000119794
       25        22.124                   22s	         3.82344e-06	         4.89586e-05	         3.42463e-06	         5.57603e-05	         0.000120785	         0.000120778
       26       33.2776                   33s	         3.10605e-06	         4.10774e-05	         3.08572e-06	         4.69221e-05	         0.000121491	          0.00012149
       27        49.259                   49s	         2.66769e-06	         3.47239e-05	         3.93321e-06	         3.95888e-05	         0.000122076	         0.000122076
       28       71.8439              01min12s	         2.27407e-06	         2.92867e-05	         3.23145e-06	         3.35609e-05	         0.000122296	         0.000122294
       29       103.355              01min43s	         1.88999e-06	         2.48463e-05	         6.60103e-06	         2.82896e-05	         0.000122346	         0.000122349
       30       146.802              02min27s	         1.66392e-06	         2.12966e-05	         5.36565e-06	         2.48783e-05	         0.000122671	         0.000122672
       31       206.046              03min26s	         1.25716e-06	         1.80968e-05	         1.07619e-05	         2.08232e-05	         0.000122402	         0.000122401
       32       286.002              04min46s	         1.18097e-06	         1.57588e-05	         8.91365e-06	         1.99438e-05	         0.000122744	         0.000122745
       33       392.873              06min33s	         1.09919e-06	         1.35753e-05	         1.14868e-05	         1.57125e-05	         0.000122438	         0.000122437
       34       534.431              08min54s	         9.87995e-07	         1.18073e-05	         9.83077e-06	         1.66976e-05	         0.000122832	         0.000122832
       35       720.346              12min---	         9.32488e-07	         1.02244e-05	         1.93127e-05	         1.18896e-05	          0.00012216	          0.00012216
       36        962.57              16min03s	         6.40458e-07	         9.07295e-06	         1.67971e-05	         1.97251e-05	         0.000123001	         0.000123002
       37       1275.78              21min16s	          5.7539e-07	         7.97164e-06	         2.16549e-05	         9.41602e-06	         0.000122458	         0.000122458
       38       1677.91              27min58s	         5.14537e-07	         6.95809e-06	         1.89265e-05	         2.05202e-05	         0.000123125	         0.000123125
       39       2190.73              36min31s	         5.09916e-07	          7.8295e-06	         2.10268e-05	          8.8873e-06	         0.000122567	         0.000122569
       40       2840.52              47min21s	         3.96033e-06	         1.04882e-06	         8.89097e-06	         8.10325e-06	         0.000139033	         0.000139033
       41       3658.91           01h-----59s	         2.22421e-07	          5.1596e-06	         3.13459e-05	         7.12886e-06	         0.000117884	         0.000117885
       42       4683.72           01h18min04s	         2.66775e-07	         4.53213e-06	         4.37862e-05	         6.29214e-06	         0.000116604	         0.000116598
       43       5959.98           01h39min20s	         2.98529e-07	         4.07109e-06	         5.45585e-05	         5.71259e-06	         0.000118575	         0.000118577
       44       7541.13           02h05min41s	         4.16881e-07	         3.62724e-06	          6.2362e-05	          5.1027e-06	          0.00011767	         0.000117684
       45       9490.27           02h38min10s	         1.91844e-07	         3.26494e-06	         6.87457e-05	         4.36169e-06	         0.000117142	         0.000117145
       46       11881.7           03h18min02s	         2.44368e-07	         2.84549e-06	         7.36166e-05	         3.88049e-06	         0.000116148	         0.000116151
       47       14802.3           04h06min42s	         2.88072e-07	         2.47084e-06	         7.76422e-05	         3.68889e-06	         0.000115717	         0.000115727
       48         18354           05h05min54s	         1.07904e-07	         2.35907e-06	         8.03187e-05	         3.30634e-06	         0.000115005	         0.000115024
       49         22655           06h17min35s	         2.15789e-07	          1.9982e-06	         8.24381e-05	         2.90103e-06	         0.000114854	         0.000114863
       50       27842.8           07h44min03s	         1.03681e-07	          1.9862e-06	         8.17868e-05	         2.53534e-06	         0.000112508	         0.000112529
       51       34076.3           09h27min56s	         1.46286e-07	         1.71845e-06	         8.18973e-05	         2.28968e-06	         0.000112382	         0.000112359
       52       41538.8           11h32min19s	         2.17895e-07	         1.71222e-06	         8.34429e-05	         2.23005e-06	         0.000115373	          0.00011537
       53       50441.2           14h-----41s	                   1	         1.43174e-06	         8.02635e-05	         1.88535e-06	         0.000113062	          0.00011305
       54       61025.4           16h57min05s	                   1	         1.05683e-06	         7.83787e-05	         2.04988e-06	         0.000113606	         0.000113596
       55       73568.1           20h26min08s	         1.05339e-07	         1.15872e-06	         7.56492e-05	         1.69524e-06	         0.000113854	         0.000113872
       56       88385.1        01d---33min05s	         2.14074e-07	          1.1277e-06	         7.27125e-05	         1.77174e-06	         0.000114956	         0.000114953
       57        105836        01d05h23min56s	                   1	         1.44975e-06	         6.79474e-05	         1.12595e-06	         0.000114278	         0.000114267
       58        126328        01d11h05min28s	                   1	         8.98437e-07	         6.34027e-05	         1.54144e-06	         0.000115061	         0.000115059
       59        150325        01d17h45min25s	                   1	         8.14629e-07	         5.82978e-05	         3.27426e-06	         0.000115901	         0.000115871
