Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22	         1.31275e+22
        1         1e-07                    0s	         1.30026e+22	         1.31471e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22	         1.31538e+22
        2    4.0833e-06                    0s	         8.02657e+21	         1.39297e+22	          1.4201e+22	         1.42031e+22	         1.42017e+22	          1.4203e+22
        3   0.000166734                    0s	         1.88377e+21	         6.55048e+21	         1.73138e+22	         1.76711e+22	         1.76729e+22	         1.76729e+22
        4    0.00680824                    0s	         1.33956e+20	         1.34012e+20	         1.51531e+22	         2.10463e+22	         2.11483e+22	         2.11494e+22
        5      0.278001                    0s	         2.07179e+18	         7.05577e+18	         1.72679e+19	         2.50404e+22	         2.68486e+22	         2.68495e+22
        6       11.3516                   11s	         1.96909e+16	         1.29523e+18	         1.31389e+19	         2.48879e+22	         2.69309e+22	         2.69318e+22
        7       463.521              07min44s	         4.32022e+15	          2.4634e+18	         1.25702e+19	         1.85104e+22	         3.01195e+22	           3.012e+22
        8         18927           05h15min27s	         4.32022e+15	         1.66807e+16	         5.51432e+19	         1.29546e+19	         3.93425e+22	         3.93543e+22
        9        772845        08d22h40min45s	                   0	                   0	         4.33162e+14	         1.32502e+19	           3.937e+22	         3.93817e+22
       10   3.15576e+07  1y----05d06h--------	                   0	                   0	                   0	         1.31274e+19	           3.937e+22	         3.93818e+22
       11   1.28859e+09 41y05mo04d06h17min42s	                   0	                   0	         1.77321e+10	         1.31228e+19	           3.937e+22	         3.93818e+22

