Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
        0             0                    0s	                   0	                   0	                   0	                   0	                   0	                   0
        1         1e-07                    0s	         3.30268e+24	         1.61795e+23	         1.13144e+21	         1.60511e+19	         1.47177e+19	         1.58789e+19
        2    4.0833e-06                    0s	         3.29565e+24	         1.62522e+23	         1.87466e+21	         6.73539e+20	         6.38286e+20	         6.81607e+20
        3   0.000166734                    0s	         1.30299e+23	         1.63253e+23	         7.70273e+21	         3.02609e+21	         3.02984e+21	         3.03249e+21
        4    0.00680824                    0s	         2.59045e+21	         4.45818e+21	         3.78509e+21	         6.57405e+20	          8.0641e+20	         8.09129e+20
        5      0.278001                    0s	         1.08752e+20	         1.14342e+20	          2.5799e+20	         3.61276e+19	         3.67785e+19	         3.67164e+19
        6       11.3516                   11s	         4.11955e+16	         4.30852e+16	         3.74334e+16	         8.91705e+16	         1.42512e+16	         1.42504e+16
        7       463.521              07min44s	         3.94029e+16	         4.09349e+16	           3.427e+16	         8.86709e+16	         1.36423e+16	         1.36182e+16
        8         18927           05h15min27s	         2.79205e+15	         2.94352e+15	         2.41161e+15	         6.36743e+15	         9.65702e+14	         9.66339e+14
        9        772845        08d22h40min45s	         1.91144e+11	         2.00476e+11	         3.83221e+11	         1.88862e+11	         6.50089e+10	         6.48947e+10
       10   3.15576e+07  1y----05d06h--------	         1.11477e+07	         1.16413e+07	         9.76654e+06	         2.51167e+07	         3.88486e+06	         3.87339e+06
       11   1.28859e+09 41y05mo04d06h17min42s	             16756.3	               17370	             15821.3	             30434.2	             15872.3	             5101.82

