     time[s]	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
             0	           0	   764509837	           0	           0	           0	           0	           0

   4.35974e-05	           0	   764509836	           0	           0	           0	           0	           0

   0.000106202	           0	   764509835	           0	           0	           0	           0	           0

   0.000196101	           0	   764509833	           0	           0	           0	           0	           0

   0.000325193	           0	   764509829	           0	           0	           0	           0	           0

   0.000510567	           0	   764509824	           1	           1	           1	           1	           1

   0.000776758	           0	   764509816	           2	           2	           2	           2	           2

      0.001159	           0	   764509805	           4	           4	           4	           4	           4

    0.00170789	           0	   764509788	           7	           7	           7	           7	           7

    0.00249609	           0	   764509764	          11	          11	          11	          11	          11

    0.00362792	           0	   764509729	          18	          18	          18	          18	          18

     0.0052532	           0	   764509679	          28	          28	          28	          28	          28

    0.00758705	           0	   764509607	          42	          42	          42	          42	          42

     0.0109384	           0	   764509503	          62	          62	          62	          62	          62

     0.0157509	           0	   764509354	          91	          91	          92	          91	          91

     0.0226614	           0	   764509140	         133	         133	         135	         133	         133

     0.0325848	           0	   764508832	         194	         194	         196	         194	         194

     0.0468346	           0	   764508389	         282	         283	         285	         282	         282

     0.0672969	           0	   764507753	         408	         410	         412	         409	         409

     0.0966802	           0	   764506840	         590	         592	         594	         591	         591

      0.138874	           0	   764505528	         851	         854	         856	         853	         853

      0.199463	           0	   764503644	        1227	        1230	        1233	        1229	        1229

      0.286467	           0	   764500939	        1767	        1771	        1774	        1770	        1770

      0.411403	           0	   764497054	        2543	        2548	        2550	        2547	        2546

      0.590808	           0	   764491475	        3657	        3663	        3666	        3663	        3661

      0.848428	           0	   764483464	        5258	        5266	        5268	        5265	        5262

       1.21836	           0	   764471960	        7556	        7568	        7569	        7566	        7562

       1.74958	           0	   764455441	       10854	       10871	       10872	       10874	       10867

        2.5124	           0	   764431721	       15594	       15615	       15619	       15621	       15608

       3.60779	           0	   764397660	       22403	       22428	       22430	       22438	       22417

       5.18073	           0	   764348752	       32172	       32202	       32222	       32225	       32202

       7.43944	           0	   764278527	       46230	       46217	       46283	       46254	       46261

       10.6829	           0	   764177696	       66382	       66387	       66437	       66433	       66435

       15.3404	           0	   764032932	       95346	       95360	       95409	       95367	       95354

       22.0285	           0	   763825094	      136879	      136838	      136960	      137064	      136930

       31.6323	           0	   763526756	      196556	      196558	      196466	      196683	      196743

       45.4233	           0	   763098556	      282208	      282140	      282133	      282453	      282269

       65.2267	           0	   762484124	      405232	      405282	      405107	      405194	      404818

       93.6639	           0	   761602724	      581535	      581963	      580439	      581617	      581476

       134.499	           0	   760338842	      834820	      834160	      833096	      834134	      834700

       193.137	           0	   758527669	     1199229	     1196325	     1194751	     1195617	     1196159

        277.34	           0	   755935329	     1722859	     1715370	     1711373	     1710831	     1713985

       398.253	           0	   752227423	     2477614	     2453507	     2450871	     2448695	     2451634

       571.881	           0	   746935933	     3553762	     3509869	     3507132	     3499813	     3503234

       821.207	           0	   739404821	     5107977	     5005217	     5000514	     4999443	     4991769

       1179.23	           0	   728728167	     7331038	     7117523	     7108562	     7121186	     7103262

       1693.35	           0	   713675030	    10535618	    10081087	    10059540	    10083104	    10075358

        2431.6	           0	   692619658	    15146053	    14190541	    14187771	    14190798	    14174914

       3491.72	           0	   663509567	    21780681	    19807649	    19789169	    19818024	    19804642

       5014.02	           0	   623912292	    31350695	    27299566	    27288382	    27332946	    27325848

          7200	           0	   571346814	    45109606	    36975015	    36976927	    37071333	    37030031
