Iteration	    Time[s]                  Time	Facet        0	Facet        1	Facet        2	Facet        3	Facet        4	Facet        5	Facet        6
        0	          0                    0s	             0	     764509837	             0	             0	             0	             0	             0
        1	 5.5157e-05                    0s	             0	     764509836	             0	             0	             0	             0	             0
        2	0.000140737                    0s	             0	     764509834	             0	             0	             0	             0	             0
        3	 0.00027352                    0s	             0	     764509830	             0	             0	             0	             0	             0
        4	0.000479543                    0s	             0	     764509824	             1	             1	             1	             1	             1
        5	0.000799202                    0s	             0	     764509815	             2	             2	             2	             2	             2
        6	 0.00129518                    0s	             0	     764509800	             5	             5	             5	             5	             5
        7	 0.00206471                    0s	             0	     764509777	             9	             9	             9	             9	             9
        8	  0.0032587                    0s	             0	     764509740	            16	            16	            16	            16	            16
        9	 0.00511127                    0s	             0	     764509683	            27	            27	            27	            27	            27
       10	 0.00798565                    0s	             0	     764509594	            44	            44	            44	            44	            44
       11	  0.0124454                    0s	             0	     764509456	            71	            71	            71	            71	            71
       12	  0.0193651                    0s	             0	     764509241	           113	           114	           114	           114	           113
       13	  0.0301015                    0s	             0	     764508908	           179	           180	           180	           180	           179
       14	  0.0467598                    0s	             0	     764508390	           282	           283	           283	           283	           282
       15	  0.0726063                    0s	             0	     764507587	           442	           443	           444	           443	           442
       16	   0.112709                    0s	             0	     764506340	           692	           692	           692	           693	           690
       17	   0.174931                    0s	             0	     764504405	          1079	          1079	          1079	          1080	          1075
       18	   0.271473                    0s	             0	     764501403	          1677	          1679	          1679	          1682	          1675
       19	   0.421265                    0s	             0	     764496745	          2609	          2610	          2610	          2612	          2606
       20	   0.653677                    1s	             0	     764489518	          4052	          4056	          4056	          4057	          4051
       21	   0.886089                    1s	             0	     764482291	          5496	          5501	          5501	          5503	          5496
       22	     1.1185                    1s	             0	     764475064	          6940	          6946	          6946	          6949	          6941
       23	    1.35091                    1s	             0	     764467837	          8384	          8391	          8391	          8394	          8386
       24	    1.58333                    2s	             0	     764460610	          9828	          9836	          9837	          9839	          9831
       25	    1.81574                    2s	             0	     764453383	         11272	         11281	         11282	         11284	         11277
       26	    2.17634                    2s	             0	     764442170	         13512	         13524	         13525	         13526	         13519
       27	    2.53695                    3s	             0	     764430957	         15753	         15766	         15768	         15768	         15762
